id,restored_text
864,"На улице темнело, сиделя за столом."
865,"Лесник сидел напротив, болтало том, осём."
866,"Что нет среди животных у старика врагов,"
867,Что нравится ему подкарм ливать волков.
868,И волки среди ночи завыли под окном.
869,Старик заулы бался и вдруг покинул дом.
870,Но вскоре возвр атился с ружьём наперевес:
871,"' Друзья хотят покушать, пойдём, приятель, в лес! '"
872,Яшёл к себе домой
873,Я шёл помокрым лужам
874,Поско льзкой мостовой
875,Ногами снегутю жил
876,А мокрый снег падал
877,Ая шёл домой
878,По зимнем усаду
879,Попустой мостовой
880,Он шёл сомной рядом
881,Шпионил за мной
882,Следил за мной взглядом
883,Бесшумный конвой
884,И вотястою
885,На краю снего пада
886,Снеба падает снег
887,Значит небутак надо
888,В это трудно поверить
889,Я вернулся домой
890,Ты открылам недвери
891,Снег вошёл вслед за мной
892,И вдруг снег растаял
893,Увидел тебя
894,На пороге остались
895,Только капли дождя
896,Нас уносит река
897,Плавных вёсел волнами
898,Словно кто- то открыл
899,Все небесные краны
900,Мы стоим на краю
901,На краю водопада
902,С небал ьётся вода
903,За морями есть лимоновый сад
904,Янайду лимон и будурад
905,Но тебенедам не смей меня винить
906,По смотрите до чего он хорош
907,Но на дороге ты его не найдешь
908,Попробуй сделай сам не будуя тебя учить
909,Растут лимоны на высоких горах
910,На крутых берегах для крутых
911,Коро четыне достанешь
912,Явижу целья залимоном дотян уться хочу
913,Я залимоном лечуи крутизной насла ждаюсь
914,Страна Лимония страна без забот
915,В страну Лимонию ведет подземный ход
916,Найти по пробуй сам не будуя тебя учить
917,Труд на дорога и повсюду обман
918,Ночтоб не сбиться у меня есть план
919,Но я тебе недам не смей меня винить
920,Страну Лимонию ищус давних пор
921,Мне надоел вечноз еленый помидор
922,Его ты кушайсам не смей его со мной делить
923,Не смей его со мной делить
924,"Выйду на улицу- солнца нема,"
925,Парни молодые свели меня сума.
926,"Выйду на улицу, гляну насело, -"
927,"Девки гуляют, им не весело."
928,"Матушка родная, водицы мнедай,"
929,Сердце мое такики дает в жар.
930,"Раньше ягуляла в зеленом саду,"
931,Думала на улицу век не пойду.
932,А теперь под вечера жпятки горят-
933,Но женьки резвыев пляску хотят.
934,"Я пойду на улицу, к девкам пойду,"
935,Голосом звонким яим подпою.
936,"Матушка, слышишь, соловушек поет,"
937,"Атам, подгорою, пляска идет-"
938,"Девки голо систые звонко поют,"
939,Мнеда молод енькой спать не дают.
940,"Теплое место, но улицы ждут"
941,Отпе чатков наших ног.
942,Звездная пыль- на сапогах.
943,"Мягкое кресло, клетчатый плед,"
944,Ненажатый во время курок.
945,Солнечный день- вослеп ительных снах.
946,"Группа крови- на рукаве,"
947,"Мой поряд ковый номер- на рукаве,"
948,"Пожелай мнеудачи в бою, пожелай мне:"
949,"Не остаться в этой траве,"
950,Не остаться в этой траве.
951,"Пожелай мнеудачи, пожелай мнеудачи!"
952,"И есть чем платить, но я нехочу"
953,Победы любой ценой.
954,Я никому не хочу ставить ногу на грудь.
955,"Я хотел бы остаться с тобой,"
956,"Просто остаться с тобой,"
957,Но высокая в небе звезда зовет меня в путь.
958,"Ночь коротка, цель далека,"
959,"Ночью так часто хочется пить,"
960,"Тывы ходишь на кухню,"
961,"Новода здесь горька,"
962,"Ты не можешь здесь спать,"
963,Ты не хочешь здесь жить.
964,"Доброе утро, последний герой!"
965,"Доброе утро тебе и таким, как ты,"
966,"Доброе утро, последний герой."
967,"Здра вствуй, последний герой!"
968,"Ты хотел быть один, это быстро прошло,"
969,"Ты хотел быть один, но не смог быть один,"
970,"Твояно ша легка, но немеет рука,"
971,Иты встре чаешь рассвет за игрой в дурака.
972,"Утром тыстре мишься скорее уйти,"
973,"Теле фонный звонок, как команда' Вперед! '"
974,"Ты уходишь туда, куда не хочешь идти,"
975,"Ты уходишь туда, но тебя там никто не ждет!"
976,Яиду по улице в зеленом пиджаке.
977,Мне нравятся моиб отинки.
978,А еще красивый галстуку меня.
979,"Я гладил брюки два часа,"
980,В парикма херской сидел с утра.
981,"И вотидуя по улице, один я."
982,По улице идуя.
983,По улице один.
984,У моего приятеля есть новые пластинки.
985,И я зайду в кафе и выпью чашку кофе.
986,А потом пойду к нему.
987,И в зеркалах витриня так похож на БодиХоли.
988,Папа скородаст свою машину пока таться мне.
989,Идуя.
990,По улице одиня.
991,Идуя по улице один.
992,Весна- пост оянный насморк.
993,Весна- солнце свети топять.
994,И я промочил ноги.
995,Весна- ия опять и дугулять.
996,Весна- я не могу усидеть дома.
997,Весна- я люблю весну.
998,О чем поют в моем дворе кошки?
999,"Нет- нет- нет- нет,"
1000,Я неусну.
1001,Весна- я уже не греюпио.
1002,Весна- скоро вырастет трава.
1003,"Весна- выпосм отрите, как красиво."
1004,Весна- где моя голова?
